question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
How many heads of the departments are older than 56 ?,كم عدد رؤساء الأقسام الذين تزيد أعمارهم عن 56 سنة؟,10,كم عدد رؤساء الأقسام الذين تزيد أعمارهم عن 56 سنة؟,10,كم رئيس قسم هو أكبر من 56 عامًا؟,8
"List the name, born state and age of the heads of departments ordered by age.",اعرض قائمة بأسماء رؤساء الأقسام، مكان ميلادهم، وأعمارهم مرتبة حسب العمر.,10,إدراج أسماء وولاية الميلاد وأعمار رؤساء الأقسام مرتبة حسب العمر.,7,عرّف أسماء رؤساء الأقسام وولاية ميلادهم وعمرهم مرتبة حسب العمر.,8
"List the creation year, name and budget of each department.",اعرض قائمة بسنوات الإنشاء، وأسماء وميزانيات كل قسم.,10,اذكر سنة الإنشاء واسم وميزانية كل قسم.,9,عرّف سنة التأسيس والاسم والميزانية لكل قسم.,10
What are the maximum and minimum budget of the departments?,ما هي أقصى وأدنى ميزانية للأقسام؟,10,ما هو الحد الأقصى والحد الأدنى لميزانية الأقسام؟,7,ما هي الحد الأقصى والحد الأدنى لميزانية الأقسام؟,8
What is the average number of employees of the departments whose rank is between 10 and 15?,ما هو المتوسط ​​لعدد الموظفين في الأقسام الذين يحتلون المرتبة بين 10 و 15؟,8,ما هو متوسط عدد موظفي الإدارات الذين تتراوح رتبهم بين 10 و 15؟,10,ما هو متوسط عدد الموظفين في الأقسام التي تتراوح رتبتها بين 10 و 15؟,8
What are the names of the heads who are born outside the California state?,ما هي أسماء رؤساء الأقسام الذين وُلدوا خارج ولاية كاليفورنيا؟,9,ما هي أسماء الرؤوس الذين ولدوا خارج ولاية كاليفورنيا؟,6,ما هي أسماء رؤساء الأقسام الذين وُلدوا خارج ولاية كاليفورنيا؟,8
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,ما هي سنوات الإنشاء المميزة للأقسام التي يديرها أمين وُلد في ولاية 'Alabama'؟,8,"ما هي سنوات الإنشاء المميزة للإدارات التي يديرها سكرتير مولود في ولاية ""ألاباما""؟",5,ما هي سنوات تأسيس الأقسام المديرة من قبل أمين وُلد في ولاية 'ألاباما'؟,8
What are the names of the states where at least 3 heads were born?,ما هي أسماء الولايات حيث وُلد على الأقل 3 رؤساء؟,8,ما هي أسماء الولايات التي ولد فيها 3 رؤوس على الأقل؟,10,ما هي أسماء الولايات حيث وُلد فيها ما لا يقل عن 3 رؤساء؟,6
In which year were most departments established?,في أي عام تم إنشاء معظم الأقسام؟,8,في أي عام تم إنشاء معظم الأقسام؟,10,في أي سنة تم إنشاء معظم الأقسام؟,8
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,عرض الاسم وعدد الموظفين للأقسام التي يديرها رؤساء تكنولوجيا المعلومات الذين يكون حالتهم التصرفية 'Yes'؟,5,"هل تريد إظهار اسم وعدد الموظفين في الأقسام التي يديرها رؤساء تكون قيمتهم المؤقتة ""نعم""؟",2,أظهر الاسم وعدد الموظفين للأقسام التي يديرها رؤساء يكون قيمة تصرفهم المؤقت 'نعم'؟,8
How many acting statuses are there?,كم عدد حالات التصرف التمثيلي؟,4,كم عدد حالات التمثيل هناك؟,4,كم هو عدد حالات العمل الفعلية؟,8
How many departments are led by heads who are not mentioned?,كم قسمًا يُديره رؤساء لم يُذكر اسماؤهم؟,5,كم عدد الإدارات التي يقودها رؤساء لم يتم ذكرهم؟,10,كم عدد الأقسام التي يديرها رؤساء غير مذكورين؟,8
What are the distinct ages of the heads who are acting?,ما هي الأعمار المميزة لرؤساء الأقسام الذين يؤدون دورًا تمثيليًا؟,8,ما هي الأعمار المميزة للرؤساء الذين يتصرفون؟,9,ما هي الأعمار المتميزة لرؤساء الأقسام الذين يعملون؟,7
List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,اعرض قائمة بالولايات التي وُلد فيها أمين 'Treasury' وأمين 'Homeland Security'.,7,قم بإدراج الولايات التي ولد فيها كل من وزير الخزانة ووزير الأمن الداخلي.,9,عرّف الولايات حيث وُلد أمين 'الخزانة' وأمين 'الأمن الداخلي'.,6
"Which department has more than 1 head at a time? List the id, name and the number of heads.",أي قسم لديه أكثر من رئيس في نفس الوقت؟ اعرض قائمة بالرقم التعريفي، الاسم، وعدد الرؤساء.,8,ما هو القسم الذي يضم أكثر من رئيس واحد في المرة الواحدة؟ قم بإدراج المعرف والاسم وعدد الرؤوس.,8,أي قسم لديه أكثر من رئيس في وقت واحد؟ عرّف الهوية والاسم وعدد الرؤساء.,8
Which head's name has the substring 'Ha'? List the id and name.,أي رئيس يحمل اسم يحتوي على متغير 'Ha'؟ اعرض قائمة بالرقم التعريفي والاسم.,7,"ما اسم الرأس الذي يحتوي على السلسلة الفرعية ""Ha""؟ قائمة الهوية والاسم.",5,أي رئيس له اسم يحتوي على متغير 'ها'؟ عرّف الهوية والاسم.,4
How many farms are there?,كم مزرعة هناك؟,8,كم عدد المزارع هناك؟,10,كم عدد المزارع؟,7
Count the number of farms.,عد المزارع.,10,حساب عدد المزارع .,3,عدّ عدد المزارع.,10
List the total number of horses on farms in ascending order.,اعرض قائمة بإجمالي عدد الخيول في المزارع بترتيب تصاعدي.,7,اذكر العدد الإجمالي للخيول في المزارع ترتيبًا تصاعديًا.,10,عرّف إجمالي عدد الخيول في المزارع بترتيب تصاعدي.,8
"What is the total horses record for each farm, sorted ascending?",ما هو إجمالي سجل الخيول لكل مزرعة، مرتبًا تصاعديًا؟,7,ما هو إجمالي عدد الخيول المسجلة لكل مزرعة مرتبة تصاعديا؟,10, ما هو إجمالي سجل الخيول لكل مزرعة، مرتبًا تصاعديًا؟,8
"What are the hosts of competitions whose theme is not ""Aliens""?","ما هي المضيفات للمسابقات التي ليست موضوعها ""Aliens""؟",5,,,,
Return the hosts of competitions for which the theme is not Aliens?,"إرجاع مضيفي المسابقات التي ليست موضوعها ""الكائنات الفضائية""؟",6,8.192982456,,7.7,7.7
What are the themes of farm competitions sorted by year in ascending order?,ما هي المواضيع التي تم تنظيمها في مسابقات المزارع مرتبة حسب السنة بترتيب تصاعدي؟,7,,,,
"Return the themes of farm competitions, sorted by year ascending.",إرجاع مواضيع مسابقات المزارع، مرتبة حسب السنة بترتيب تصاعدي.,8,,,,
